"","source_file","state_population","state_radio_population","population_coverage","state","wra","wra_radio_owners"
"1","arewa_polygon",9552513.15343226,16693.1413214727,0.00174751304220657,"Bauchi",2149315.45952226,939250.855811227
"2","arewa_polygon",7913223.287149,2272454.06409972,0.287171735415348,"Jigawa",1780475.23960852,778067.679708925
"3","arewa_polygon",11253352.0333556,414981.39411021,0.0368762474398899,"Kaduna",2532004.20750501,1106485.83867969
"4","arewa_polygon",17747926.8751695,16692005.5985014,0.940504528551705,"Kano",3993283.54691314,1745064.91000104
"5","arewa_polygon",11092560.911733,827851.053748195,0.0746311929531574,"Katsina",2495826.20513992,1090676.05164614
